name,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews
Bright Modern Garden Unit - 1BR/1B,37.76931,-122.43386,Apartment,Entire home/apt,3,$170.00,217
Charming room for two,37.75402,-122.45805,House,Private room,2,$99.00,160
Creative Sanctuary,37.74511,-122.42102,Apartment,Entire home/apt,5,$235.00,111
A Friendly Room - UCSF/USF - San Francisco,37.76669,-122.4525,Apartment,Private room,2,$65.00,18
Friendly Room Apt. Style -UCSF/USF - San Francisco,37.76487,-122.45183,Apartment,Private room,2,$65.00,8
Historic Alamo Square Victorian,37.77525,-122.43637,House,Entire home/apt,4,$875.00,28
Mission Sunshine with Private Bath,37.75919,-122.42237,Condominium,Private room,3,$139.00,704
Artful Potrero Separate Floor with Garden,37.76259,-122.40543,House,Private room,2,$135.00,511
Victorian Suite in Inner Mission,37.75874,-122.41327,House,Entire home/apt,4,$225.00,337
Classic Nob Hill Studio - Roof Deck,37.79143,-122.41544,Apartment,Entire home/apt,2,$120.00,18
Haight Buena Vista Park Garden 3BR,37.77187,-122.43859,Apartment,Entire home/apt,3,$177.00,37
Victorian House in Hayes Valley - 3BED-2BA,37.77355,-122.42436,Apartment,Entire home/apt,5,$194.00,15
Union Square Modern Loft,37.78574,-122.40798,Apartment,Entire home/apt,2,$139.00,19
Sunny/Sunset view room UCSF/USF - San Francisco,37.77019,-122.44594,Apartment,Private room,2,$85.00,6
Sunny/Sunset view room UCSF/USF - San Francisco,37.76894,-122.44778,Apartment,Private room,2,$85.00,5
Perfectly located Castro,37.76075,-122.43032,Apartment,Private room,1,$79.00,414
Views sun 12 ft ceilings decks 2BR work/sleep,37.76203,-122.45455,Townhouse,Entire home/apt,4,$122.00,17
Gallery Residence,37.75491,-122.42246,Apartment,Entire home/apt,3,$215.00,114
Luxury 2BR suite with waterview,37.78647,-122.39072,Condominium,Entire home/apt,4,$450.00,14
Loft-like Apt./Garden (monthly only available),37.74888,-122.42982,Apartment,Entire home/apt,3,$107.00,62
Tranquil Lower Haight w/pvt bath,37.77252,-122.43216,Townhouse,Private room,2,$110.00,397
Studio loft on top of Russian Hill,37.7958,-122.41533,Loft,Entire home/apt,2,$125.00,119
A Friendly Room Apt. Style-UCSF/USF-San Francisco,37.7648,-122.45251,Apartment,Private room,2,$65.00,14
Castro Guest Suite With Continental Breakfast,37.75963,-122.44143,House,Entire home/apt,2,$155.00,391
Atelier Noe 25 Studio in Noe Valley,37.74885,-122.43673,Apartment,Entire home/apt,3,$180.00,244
"Potrero Hill ""Nest"" Quiet Comfy & Convenient",37.75645,-122.3991,Apartment,Private room,2,$155.00,293
Castro/Haight San Francisco,37.77162,-122.43836,Apartment,Private room,1,$79.00,197
Apartment-like rooms in PacHeights,37.78716,-122.43386,Guest suite,Entire home/apt,4,$195.00,314
San Francisco's Luxury Oasis On Noe,37.74188,-122.43122,House,Private room,2,$150.00,39
Modern Zen in the Lower Haight,37.77729,-122.43421,Townhouse,Private room,2,$110.00,429
Convenient quiet private,37.76212,-122.39541,House,Private room,3,$125.00,313
Huge Central Victorian/Alamo Square,37.77478,-122.4315,Apartment,Entire home/apt,10,$450.00,33
Elegant Edwardian Apartment in the Castro/Eureka Valley,37.76298,-122.43136,Apartment,Entire home/apt,2,$125.00,132
Secret Mission Garden,37.76098,-122.42158,Condominium,Private room,4,$199.00,27
Sunny house with garden,37.73729,-122.41163,House,Entire home/apt,4,$220.00,16
gigi's bed and breakfast,37.77931,-122.50518,Apartment,Entire home/apt,4,$155.00,58
Cozy Sunny and Private Space,37.74025,-122.41259,Apartment,Entire home/apt,2,$150.00,94
Potrero Hill Garden Lookout,37.76526,-122.3973,House,Entire home/apt,2,$240.00,571
Bette's New Place,37.7483,-122.42488,Guest suite,Entire home/apt,2,$107.00,20
Comfortable Home Base Bernal Heights,37.74093,-122.42055,Apartment,Entire home/apt,2,$94.00,22
Cute Private Apt in the hip Mission,37.76016,-122.41969,Apartment,Entire home/apt,2,$108.00,97
Peaceful room in yoga teacher's colorful apt.,37.78255,-122.44844,Apartment,Private room,1,$67.00,137
Cozy Castro Cottage with Cat,37.76125,-122.43335,House,Entire home/apt,3,$159.00,54
Sue's Place,37.74083,-122.41763,House,Private room,2,$127.00,255
Heart of San Francisco the Mission,37.75611,-122.41866,Apartment,Entire home/apt,4,$290.00,79
Guest Cottage - SF,37.73557,-122.43302,House,Entire home/apt,3,$136.00,148
Captain's Quarters,37.73356,-122.41851,Apartment,Entire home/apt,2,$85.00,6
Crows NestCharming Jr. One Bedroom,37.73404,-122.41781,House,Entire home/apt,2,$85.00,4
Bookish Mission District Flat with backyard,37.75117,-122.41326,Apartment,Entire home/apt,2,$104.00,11
Garden View Hideaway - PET FRIENDLY,37.75447,-122.38813,Guest suite,Entire home/apt,3,$150.00,2
Lyon's Den,37.77272,-122.44084,Guest suite,Entire home/apt,2,$110.00,8
Secret Lounge in The Mission,37.75145,-122.41207,Apartment,Entire home/apt,2,$95.00,283
Cute Noe/Mission Apartment,37.75121,-122.42165,Apartment,Entire home/apt,4,$175.00,3
Private Castro Studio with 2 beds,37.76068,-122.43331,Guest suite,Entire home/apt,2,$116.00,140
Central in SF - Victorian Classic Home - 5 Stars,37.77248,-122.43016,House,Private room,2,$125.00,147
CACTUS COTTAGE  with easy parking/public transp.,37.72536,-122.46861,House,Entire home/apt,2,$78.00,30
One-bedroom apt.  Lafayette Park,37.7925,-122.42431,Apartment,Entire home/apt,2,$120.00,27
2BR in heart of SF. Golden views!,37.76519,-122.45613,Apartment,Entire home/apt,4,$9999.00,8
Centrally Located Victorian Apartment,37.77121,-122.42834,Apartment,Entire home/apt,2,$119.00,107
Prime Location - Small Cozy Room,37.79312,-122.426,Apartment,Private room,1,$55.00,162
Large & sunny room with bath + yard,37.73878,-122.41189,House,Private room,2,$90.00,142
ATTN INTERNS AND STUDENTS:  URBAN RAINBOW CONDO,37.78775,-122.41634,Apartment,Entire home/apt,4,$163.00,232
Financial District Corporate Condo,37.7933,-122.40079,Condominium,Entire home/apt,2,$185.00,18
Studio Apartment Lafayette Park,37.79166,-122.4265,Apartment,Entire home/apt,2,$115.00,40
❤️Stunning Luxury Apt 5 star reviews Laundry,37.77959,-122.48619,Apartment,Entire home/apt,4,$112.00,10
❤️ Super luxury Apt Great View  5 Star Reviews,37.74889,-122.44479,Apartment,Entire home/apt,4,$116.00,27
Prime Location - Large Private Room,37.79216,-122.42458,Apartment,Private room,1,$55.00,123
Downtown Rainbow,37.78816,-122.41722,Apartment,Entire home/apt,4,$187.00,88
Beautiful Alamo Park flat w deck,37.77459,-122.43923,Apartment,Entire home/apt,5,$200.00,152
Bernal Heights Apartment Patio + Parking,37.7472,-122.41443,Apartment,Entire home/apt,2,$175.00,215
Bartlett Gardens: Spacious bright!,37.75762,-122.41933,Apartment,Private room,1,$99.00,122
Private and Quiet Noe Valley Studio,37.74565,-122.42864,Guest suite,Entire home/apt,2,$135.00,336
Ultra Panoramic View Contemporary,37.8031,-122.41596,Condominium,Private room,4,$109.00,243
Garden Cottage Charming!,37.74209,-122.41409,Cottage,Private room,2,$150.00,192
Lovely quiet private room in Home,37.75674,-122.49178,House,Private room,2,$100.00,1
Charming Victorian 3-Bedrms-2Baths + Free Parking!,37.76966,-122.43496,House,Entire home/apt,6,$475.00,201
Lovely Room in Charming Edwardian,37.74183,-122.42993,Apartment,Private room,2,$85.00,36
GORGEOUS SAN FRANCISCO HOME,37.76245,-122.42432,House,Entire home/apt,6,$950.00,55
Lovely open plan en-suite bed/bath,37.74926,-122.41398,Guest suite,Entire home/apt,2,$166.00,365
Great room in a fantastic location!,37.80317,-122.42874,Apartment,Private room,2,$90.00,67
Large garden studio  apt. near Golden Gate Park,37.77798,-122.47812,Apartment,Entire home/apt,2,$95.00,97
Spectacular Sutro Heights,37.77719,-122.50906,Apartment,Entire home/apt,6,$216.00,12
lovely 1 BEDROOM: GG Park/UCSF,37.7571,-122.46594,Apartment,Entire home/apt,3,$90.00,44
Beautiful 1bdr apt by Dolores Park in Mission,37.75426,-122.42387,Apartment,Entire home/apt,2,$326.00,36
Private 1BR Inner Richmond Apt,37.77442,-122.46319,House,Entire home/apt,2,$80.00,52
MISSION Outr BedRm3+Fridge+PvtBath,37.73027,-122.42644,House,Private room,2,$46.00,39
MISSION Outr BedRmU3+MinFridge,37.73128,-122.42478,House,Private room,2,$37.00,27
Panorama Pacific View - Pet Friendly,37.77707,-122.50923,Apartment,Entire home/apt,4,$185.00,7
Noe Valley Eco-Escape +Maid Service,37.74527,-122.42424,Apartment,Entire home/apt,3,$108.00,10
Monthly Shared Home for Students 1,37.79364,-122.40635,House,Shared room,1,$30.00,15
Dorm Bed In Friendly Hostel Community #1,37.79447,-122.4045,Hostel,Shared room,1,$45.00,388
Bernal Heights Northslope Studio,37.74578,-122.40841,Guest suite,Private room,2,$109.00,142
ｽﾀｼﾞｵｱﾊﾟｰﾄ,37.77625,-122.46466,Apartment,Entire home/apt,2,$80.00,2
Cozy loft in the center of SF. F1A,37.77518,-122.43334,Apartment,Entire home/apt,8,$90.00,97
Dorm Bed In Friendly Hostel Community #2,37.79309,-122.40443,Hostel,Shared room,2,$45.00,395
Wonderful private 1 bedroom apt. F6,37.77588,-122.43143,Apartment,Entire home/apt,6,$105.00,52
Modern SoMa 1-bdrm views balcony,37.77026,-122.41855,Apartment,Entire home/apt,2,$270.00,30
Views of SF from a nice studio F5,37.77388,-122.43298,Apartment,Entire home/apt,4,$100.00,19
Mission Outr Rustic Pvt Bedroom,37.73137,-122.42532,House,Private room,2,$37.00,35
Mission Outr CozyBedRm4+Minfridge,37.73128,-122.42473,House,Private room,2,$40.00,9
Mission Outr Big Precious Roomy Room,37.73048,-122.42494,House,Private room,2,$45.00,35
Private Studio w/ Kitchenette &Bath,37.73838,-122.43375,House,Entire home/apt,2,$135.00,381
FAB BDRM w/ PrvtBATH PatioFridge,37.73134,-122.42457,House,Private room,3,$57.00,23
Heart of the Mission: Hot spot,37.75615,-122.41927,Apartment,Private room,1,$75.00,91
Hideaway in the Haight,37.77065,-122.44252,Apartment,Entire home/apt,2,$140.00,22
Sweet 1 br Garden Apartment -  Lewhit Cottage,37.78493,-122.44618,Condominium,Entire home/apt,4,$83.00,16
